,version,month,sentiment_score,month_name
11807,27,9,0.2,September
11805,27,9,0.5,September
1087,27,9,0.75,September
7631,27,9,0,September
7654,27,9,0.525,September
7649,27,9,0.5,September
1103,27,9,0.195833333,September
11813,27,9,0.7,September
1015,27,9,0.341666667,September
1097,27,9,0.090909091,September
875,27,9,0.114285714,September
2905,27,9,-0.141904762,September
11682,27,9,0.8,September
1016,27,9,0.37,September
1108,27,9,0.121428571,September
11810,27,9,0.625,September
7855,27,9,1,September
1098,27,9,0.593333333,September
7662,27,9,0.35,September
1090,27,9,-0.5,September
7647,27,9,0.8,September
7661,27,9,0.2,September
11667,27,9,0.7,September
877,27,9,0.52,September
7653,27,9,-0.333333333,September
7655,27,9,0.4,September
1082,27,9,0,September
921,27,9,0.1,September
7645,27,9,0,September
905,27,9,0.495555556,September
934,27,9,0.325,September
935,27,9,0.308333333,September
946,27,9,0.5,September
870,27,9,0.475,September
939,27,9,-0.24,September
941,27,9,0.2,September
1009,27,9,0.183333333,September
11745,27,9,0.4375,September
936,27,9,0.636666667,September
938,27,9,0.216666667,September
7651,27,9,0.7,September
947,27,9,0.733333333,September
950,27,9,0.5,September
900,27,9,0.466666667,September
7636,27,9,0.5,September
944,27,9,0.6,September
933,27,9,0.383333333,September
932,27,9,0.02,September
11748,27,9,0.5,September
7634,27,9,0.91,September
920,27,9,0.25,September
918,27,9,0.189814815,September
916,27,9,0,September
924,27,9,0.05,September
915,27,9,0.533333333,September
913,27,9,0.425,September
7630,27,9,0.4,September
923,27,9,0,September
874,27,9,0.367592593,September
956,27,9,0.353333333,September
928,27,9,0.145833333,September
11772,27,9,0,September
906,27,9,-0.033333333,September
7633,27,9,0.6,September
898,27,9,0.65,September
968,27,9,0.277,September
970,27,9,0.6,September
975,27,9,0.182222222,September
11705,27,9,0.35,September
954,27,9,0.525,September
955,27,9,0.228571429,September
909,27,9,-0.073333333,September
978,27,9,0.245833333,September
7641,27,9,-0.2,September
879,27,9,0.4,September
987,27,9,0.1,September
7643,27,9,0.8,September
7644,27,9,0.38,September
990,27,9,0.35,September
977,27,9,-0.1,September
967,27,9,-1,September
883,27,9,-0.208333333,September
884,27,9,0.477083333,September
895,27,9,0,September
11784,27,9,-1,September
893,27,9,0.433333333,September
891,27,9,-0.1875,September
882,27,9,0.266666667,September
997,27,9,0.133333333,September
869,27,9,-0.033333333,September
7806,27,9,0.6,September
889,27,9,-0.055555556,September
888,27,9,0.233333333,September
887,27,9,-0.09047619,September
886,27,9,0.212121212,September
885,27,9,-0.05,September
959,27,9,-0.2,September
964,27,9,0.5,September
966,27,9,0.78,September
7665,27,9,0.35,September
1123,27,9,0.10952381,September
1545,27,9,0.39,September
962,27,9,0.347272727,September
911,27,9,0.442857143,September
7805,27,9,1,September
1542,27,9,0.302840909,September
1521,27,9,-0.5,September
1520,27,9,0.533333333,September
1518,27,9,0,September
7799,27,9,0.91,September
1533,27,9,-0.5,September
1512,27,9,0.083333333,September
1550,27,9,0.026666667,September
7811,27,9,0,September
7867,27,9,0.2,September
7858,27,9,0,September
7848,27,9,0.3,September
1465,27,9,0.3625,September
7829,27,9,-0.3,September
1555,27,9,0.833333333,September
7879,27,9,0.2,September
7797,27,9,0.178571429,September
7783,27,9,0.566666667,September
1456,27,9,0.25,September
7781,27,9,1,September
7840,27,9,0.6,September
1438,27,9,0.346666667,September
7776,27,9,0.65,September
1503,27,9,0.4,September
1495,27,9,-0.13125,September
1490,27,9,0.15,September
7790,27,9,0.6,September
1799,27,9,0.113333333,September
1475,27,9,0.372,September
1839,27,9,0,September
1833,27,9,0.459272727,September
1807,27,9,0.034895833,September
1832,27,9,0.219047619,September
6825,27,9,0.233333333,September
1820,27,9,0,September
1819,27,9,-0.033333333,September
7639,27,9,0,September
1816,27,9,0.05,September
1815,27,9,0.25,September
1813,27,9,0.3,September
1829,27,9,0.5,September
7775,27,9,0.5,September
1812,27,9,0.455625,September
1479,27,9,0.333333333,September
1858,27,9,-0.15,September
11132,27,9,0,September
1872,27,9,0.133333333,September
11134,27,9,0.416666667,September
1849,27,9,-0.3,September
11138,27,9,0,September
11141,27,9,0,September
1867,27,9,0,September
